"subject","rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","responses","key_press","group","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","audiostim","audiogiven","pic_choices","leftpic","rightpic","correct","vowelcontrast","lge"
"1fss","2169.3999999762","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",163,1842563,"0.0-12.0-1.0","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","biene.wav","biene","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","3232.3000000715","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",165,1847164,"0.0-12.0-1.1","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kiel.wav","kiel","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","1141.7000000477","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",167,1849934,"0.0-12.0-1.2","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","708.40000009537","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",171,1854431,"0.0-12.0-1.4","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kiel.wav","kiel","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","1135.5","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",173,1857199,"0.0-12.0-1.5","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","4343.2000000477","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",175,1863060,"0.0-12.0-1.6","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","still_stiel","still","stiel",0,"i/I","ns"
"1fss","1025.2999999523","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",177,1865549,"0.0-12.0-1.7","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schief.wav","schief","schief_schiff","schief","schiff",1,"i/I","ns"
"1fss","3270.2999999523","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",179,1870183,"0.0-12.0-1.8","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kuehl.wav","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","937.29999995232","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",185,1881501,"0.0-12.0-1.11","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","702.60000002384","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",187,1883505,"0.0-12.0-1.12","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","biene.wav","biene","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","NULL","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",193,1897224,"0.0-12.0-1.15","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spielen_spulen","spulen","spielen",0,"i/u","ns"
"1fss","1897.5","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",195,1900419,"0.0-12.0-1.16","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","mitte.wav","mitte","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","3424","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",197,1905176,"0.0-12.0-1.17","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","blueten.wav","blueten","bluten_blueten","blueten","bluten",0,"y/u","ns"
"1fss","NULL","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",199,1911492,"0.0-12.0-1.18","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schiff.wav","schiff","schief_schiff","schief","schiff",0,"i/I","ns"
"1fss","2618","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",201,1915749,"0.0-12.0-1.19","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spielen_spulen","spulen","spielen",1,"i/u","ns"
"1fss","2642.7999999523","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",205,1922485,"0.0-12.0-1.21","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tier.wav","tier","tier_tour","tier","tour",1,"i/u","ns"
"1fss","1302.7999999523","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",207,1925306,"0.0-12.0-1.22","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stuhl.wav","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"1fss","2066","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",211,1931719,"0.0-12.0-1.24","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","still.wav","still","still_stiel","still","stiel",1,"i/I","ns"
"1fss","748.60000002384","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",215,1940341,"0.0-12.0-1.26","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","biene.wav","biene","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","3481.3000000715","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",217,1945463,"0.0-12.0-1.27","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spulen_spuelen","spulen","spuelen",0,"y/u","ns"
"1fss","2603.5","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",219,1949717,"0.0-12.0-1.28","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spielen_spulen","spulen","spielen",1,"i/u","ns"
"1fss","2307.5","pics/scaled/tuer_tour.jpg","NULL","image-keyboard-response",221,1953260,"0.0-12.0-1.29","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tour.wav","tour","tuer_tour","tour","tuer",0,"y/u","ns"
"1fss","425.70000004768","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",223,1955309,"0.0-12.0-1.30","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u","ns"
"1fss","265.5","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",225,1957198,"0.0-12.0-1.31","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","4534.2999999523","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",229,1965808,"0.0-12.0-1.33","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schief.wav","schief","schief_schiff","schief","schiff",0,"i/I","ns"
"1fss","699.39999997616","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",237,1977731,"0.0-12.0-1.37","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","712.70000004768","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",247,1993405,"0.0-12.0-1.42","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"1fss","1001.3000000715","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",249,1995645,"0.0-12.0-1.43","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tier.wav","tier","tier_tour","tier","tour",1,"i/u","ns"
"1fss","2466.7000000477","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",251,1999479,"0.0-12.0-1.44","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kuehl.wav","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","1651.7000000477","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",253,2002566,"0.0-12.0-1.45","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","still.wav","still","still_stiel","still","stiel",1,"i/I","ns"
"1fss","755.60000002384","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",255,2004619,"0.0-12.0-1.46","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","mitte.wav","mitte","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","1434.0999999046","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",257,2007358,"0.0-12.0-1.47","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","buehne.wav","buehne","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","2631.8999999762","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",259,2011505,"0.0-12.0-1.48","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"1fss","2917.8000000715","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",263,2018760,"0.0-12.0-1.50","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","blueten.wav","blueten","bluten_blueten","blueten","bluten",0,"y/u","ns"
"1fss","1308.5","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",273,2034681,"0.0-12.0-1.55","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","blueten.wav","blueten","bluten_blueten","blueten","bluten",0,"y/u","ns"
"1fss","1134.3999999762","pics/scaled/tuer_tour.jpg","NULL","image-keyboard-response",275,2037048,"0.0-12.0-1.56","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tuer.wav","tuer","tuer_tour","tour","tuer",1,"y/u","ns"
"1fss","NULL","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",277,2043513,"0.0-12.0-1.57","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schief.wav","schief","schief_schiff","schief","schiff",0,"i/I","ns"
"1fss","4536","pics/scaled/tuer_tour.jpg","NULL","image-keyboard-response",287,2062457,"0.0-12.0-1.62","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tour.wav","tour","tuer_tour","tour","tuer",0,"y/u","ns"
"1fss","3584","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",289,2067275,"0.0-12.0-1.63","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tour.wav","tour","tier_tour","tier","tour",1,"i/u","ns"
"1fss","894.80000007153","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",295,2075796,"0.0-12.0-1.66","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen2.wav","spielen","spielen_spulen","spulen","spielen",1,"i/u","ns"
"1fss","315.89999997616","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",297,2077746,"0.0-12.0-1.67","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen2.wav","spielen","spielen_spulen","spulen","spielen",1,"i/u","ns"
"1fss","410.5","pics/scaled/spielen_spulen.jpg","NULL","image-keyboard-response",301,2081901,"0.0-12.0-1.69","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spielen2.wav","spielen","spielen_spulen","spulen","spielen",1,"i/u","ns"
"1fss","455.5","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",305,2089115,"0.0-12.0-1.71","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u","ns"
"1fss","806.30000007153","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",307,2091436,"0.0-12.0-1.72","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stuhl.wav","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"1fss","1886.0999999046","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",311,2101157,"0.0-12.0-1.74","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","still_stiel","still","stiel",1,"i/I","ns"
"1fss","3142.2999999523","pics/scaled/tuer_tour.jpg","NULL","image-keyboard-response",313,2105534,"0.0-12.0-1.75","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tour.wav","tour","tuer_tour","tour","tuer",1,"y/u","ns"
"1fss","520.89999997616","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",317,2110632,"0.0-12.0-1.77","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spulen_spuelen","spulen","spuelen",0,"y/u","ns"
"1fss","1037.4000000954","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",319,2112909,"0.0-12.0-1.78","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tour.wav","tour","tier_tour","tier","tour",1,"i/u","ns"
"1fss","1261.4000000954","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",321,2115682,"0.0-12.0-1.79","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","still_stiel","still","stiel",1,"i/I","ns"
"1fss","4564.2000000477","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",323,2121574,"0.0-12.0-1.80","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","bluten.wav","bluten","bluten_blueten","blueten","bluten",0,"y/u","ns"
"1fss","1386.8999999762","pics/scaled/tuer_tour.jpg","NULL","image-keyboard-response",325,2124198,"0.0-12.0-1.81","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tuer.wav","tuer","tuer_tour","tour","tuer",0,"y/u","ns"
"1fss","1590.3000000715","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",327,2127022,"0.0-12.0-1.82","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tour.wav","tour","tier_tour","tier","tour",1,"i/u","ns"
"1fss","1074.7000000477","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",331,2132395,"0.0-12.0-1.84","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stuhl.wav","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"1fss","NULL","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",333,2138833,"0.0-12.0-1.85","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","still.wav","still","still_stiel","still","stiel",0,"i/I","ns"
"1fss","413.30000007153","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",335,2140884,"0.0-12.0-1.86","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spulen.wav","spulen","spulen_spuelen","spulen","spuelen",0,"y/u","ns"
"1fss","2598.5","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",337,2144849,"0.0-12.0-1.87","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kuehl.wav","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","1380.2999999523","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",341,2150491,"0.0-12.0-1.89","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"1fss","4232.1000000238","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",345,2158444,"0.0-12.0-1.91","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tier.wav","tier","tier_tour","tier","tour",1,"i/u","ns"
"1fss","1060.1000000238","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",347,2160811,"0.0-12.0-1.92","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","buehne.wav","buehne","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","NULL","pics/scaled/tuer_tour.jpg","NULL","image-keyboard-response",349,2167042,"0.0-12.0-1.93","NULL","NULL","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","tuer.wav","tuer","tuer_tour","tour","tuer",0,"y/u","ns"
"1fss","2124.6000000238","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",351,2170477,"0.0-12.0-1.94","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schiff.wav","schiff","schief_schiff","schief","schiff",1,"i/I","ns"
"1fss","3875.5","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",357,2180726,"0.0-12.0-1.97","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","miete.wav","miete","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","1621.3999999762","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",363,2188872,"0.0-12.0-1.100","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","kiel.wav","kiel","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"1fss","3635.7999999523","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",367,2196608,"0.0-12.0-1.102","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","miete.wav","miete","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","1006.5","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",369,2198947,"0.0-12.0-1.103","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","bluten.wav","bluten","bluten_blueten","blueten","bluten",0,"y/u","ns"
"1fss","1793.8000000715","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",371,2202054,"0.0-12.0-1.104","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","schiff.wav","schiff","schief_schiff","schief","schiff",1,"i/I","ns"
"1fss","4423.5","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",375,2210326,"0.0-12.0-1.106","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","mitte.wav","mitte","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","617.39999997616","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",377,2212571,"0.0-12.0-1.107","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","spuelen2.wav","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u","ns"
"1fss","1383","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",387,2227684,"0.0-12.0-1.112","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","miete.wav","miete","miete_mitte","mitte","miete",1,"i/I","ns"
"1fss","2722","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",389,2231923,"0.0-12.0-1.113","NULL","81","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","stiel.wav","stiel","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"1fss","883.69999992847","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",393,2237346,"0.0-12.0-1.115","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","buehne.wav","buehne","biene_buehne","biene","buehne",1,"y/i","ns"
"1fss","2805","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",397,2243477,"0.0-12.0-1.117","NULL","80","Nein","Spanisch","37",NA,"selflearn",NA,NA,"classesabroad",NA,"die Schule","37","2 Jahre","bluten.wav","bluten","bluten_blueten","blueten","bluten",1,"y/u","ns"
"90gm","2964","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",163,684616,"0.0-12.0-1.0","NULL","81","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","stiel.wav","stiel","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"90gm","1392","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",165,687661,"0.0-12.0-1.1","NULL","81","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"90gm","2968","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",169,694347,"0.0-12.0-1.3","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","tour.wav","tour","tier_tour","tier","tour",1,"i/u","ns"
"90gm","707","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",171,696696,"0.0-12.0-1.4","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","spuelen2.wav","spuelen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"90gm","427","pics/scaled/spulen_spuelen.jpg","NULL","image-keyboard-response",173,698785,"0.0-12.0-1.5","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","spuelen2.wav","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u","ns"
"90gm","439","pics/scaled/spielen_spuelen.jpg","NULL","image-keyboard-response",175,700868,"0.0-12.0-1.6","NULL","81","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","spielen.wav","spielen","spielen_spuelen","spielen","spuelen",1,"y/i","ns"
"90gm","790","pics/scaled/stiel_stuhl.jpg","NULL","image-keyboard-response",179,707440,"0.0-12.0-1.8","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","stuhl.wav","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u","ns"
"90gm","982","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",181,709779,"0.0-12.0-1.9","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","schiff.wav","schiff","schief_schiff","schief","schiff",1,"i/I","ns"
"90gm","3810","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",183,715056,"0.0-12.0-1.10","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","still.wav","still","still_stiel","still","stiel",0,"i/I","ns"
"90gm","1258","pics/scaled/miete_mitte.jpg","NULL","image-keyboard-response",185,717651,"0.0-12.0-1.11","NULL","81","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","mitte.wav","mitte","miete_mitte","mitte","miete",1,"i/I","ns"
"90gm","1239","pics/scaled/biene_buehne.png","NULL","image-keyboard-response",187,720226,"0.0-12.0-1.12","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","buehne.wav","buehne","biene_buehne","biene","buehne",1,"y/i","ns"
"90gm","702","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",191,724632,"0.0-12.0-1.14","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","stiel.wav","stiel","still_stiel","still","stiel",1,"i/I","ns"
"90gm","545","pics/scaled/schief_schiff.jpg","NULL","image-keyboard-response",193,726664,"0.0-12.0-1.15","NULL","81","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","schief.wav","schief","schief_schiff","schief","schiff",1,"i/I","ns"
"90gm","350","pics/scaled/still_stiel.jpg","NULL","image-keyboard-response",199,732543,"0.0-12.0-1.18","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","stiel.wav","stiel","still_stiel","still","stiel",1,"i/I","ns"
"90gm","2562","pics/scaled/kiel_kuehl.jpg","NULL","image-keyboard-response",201,736498,"0.0-12.0-1.19","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","kuehl.wav","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i","ns"
"90gm","861","pics/scaled/bluten_blueten.jpg","NULL","image-keyboard-response",205,741914,"0.0-12.0-1.21","NULL","80","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","bluten.wav","bluten","bluten_blueten","blueten","bluten",1,"y/u","ns"
"90gm","738","pics/scaled/tier_tour.jpg","NULL","image-keyboard-response",209,745957,"0.0-12.0-1.23","NULL","81","Nein","Spanisch","20",NA,NA,NA,"uni","classesabroad","immersion","","20","34 Jahren","tier.wav","tier","tier_tour","tier","tour",1,"i/u","ns"
